grafana  | logger=migrator t=2025-05-19T16:50:40.882410296Z level=info msg="Migration successfully executed" id="create dashboard table" duration=4.810084ms
grafana  | logger=migrator t=2025-05-19T16:50:40.883978671Z level=info msg="Executing migration" id="add index dashboard.account_id"
grafana  | logger=migrator t=2025-05-19T16:50:40.884445171Z level=info msg="Migration successfully executed" id="add index dashboard.account_id" duration=467.083µs
grafana  | logger=migrator t=2025-05-19T16:50:40.885654796Z level=info msg="Executing migration" id="add unique index dashboard_account_id_slug"
grafana  | logger=migrator t=2025-05-19T16:50:40.885980296Z level=info msg="Migration successfully executed" id="add unique index dashboard_account_id_slug" duration=325.625µs
grafana  | logger=migrator t=2025-05-19T16:50:40.888711171Z level=info msg="Executing migration" id="create dashboard_tag table"
grafana  | logger=migrator t=2025-05-19T16:50:40.88911088Z level=info msg="Migration successfully executed" id="create dashboard_tag table" duration=400.625µs
grafana  | logger=migrator t=2025-05-19T16:50:40.89078163Z level=info msg="Executing migration" id="add unique index dashboard_tag.dasboard_id_term"
grafana  | logger=migrator t=2025-05-19T16:50:40.891284171Z level=info msg="Migration successfully executed" id="add unique index dashboard_tag.dasboard_id_term" duration=502.459µs
grafana  | logger=migrator t=2025-05-19T16:50:40.892600796Z level=info msg="Executing migration" id="drop index UQE_dashboard_tag_dashboard_id_term - v1"
grafana  | logger=migrator t=2025-05-19T16:50:40.89288863Z level=info msg="Migration successfully executed" id="drop index UQE_dashboard_tag_dashboard_id_term - v1" duration=288.5µs
grafana  | logger=migrator t=2025-05-19T16:50:40.893884755Z level=info msg="Executing migration" id="Rename table dashboard to dashboard_v1 - v1"
grafana  | logger=migrator t=2025-05-19T16:50:40.89588213Z level=info msg="Migration successfully executed" id="Rename table dashboard to dashboard_v1 - v1" duration=1.997416ms
grafana  | logger=migrator t=2025-05-19T16:50:40.897898671Z level=info msg="Executing migration" id="create dashboard v2"
grafana  | logger=migrator t=2025-05-19T16:50:40.898122755Z level=info msg="Migration successfully executed" id="create dashboard v2" duration=225µs
grafana  | logger=migrator t=2025-05-19T16:50:40.899008463Z level=info msg="Executing migration" id="create index IDX_dashboard_org_id - v2"
grafana  | logger=migrator t=2025-05-19T16:50:40.899205088Z level=info msg="Migration successfully executed" id="create index IDX_dashboard_org_id - v2" duration=196.916µs
grafana  | logger=migrator t=2025-05-19T16:50:40.900606005Z level=info msg="Executing migration" id="create index UQE_dashboard_org_id_slug - v2"
grafana  | logger=migrator t=2025-05-19T16:50:40.900837796Z level=info msg="Migration successfully executed" id="create index UQE_dashboard_org_id_slug - v2" duration=229.708µs
grafana  | logger=migrator t=2025-05-19T16:50:40.90364413Z level=info msg="Executing migration" id="copy dashboard v1 to v2"
grafana  | logger=migrator t=2025-05-19T16:50:40.903752755Z level=info msg="Migration successfully executed" id="copy dashboard v1 to v2" duration=108.459µs
grafana  | logger=migrator t=2025-05-19T16:50:40.904735546Z level=info msg="Executing migration" id="drop table dashboard_v1"
grafana  | logger=migrator t=2025-05-19T16:50:40.904984005Z level=info msg="Migration successfully executed" id="drop table dashboard_v1" duration=248.666µs
grafana  | logger=migrator t=2025-05-19T16:50:40.905746338Z level=info msg="Executing migration" id="alter dashboard.data to mediumtext v1"
grafana  | logger=migrator t=2025-05-19T16:50:40.905754046Z level=info msg="Migration successfully executed" id="alter dashboard.data to mediumtext v1" duration=7.542µs
grafana  | logger=migrator t=2025-05-19T16:50:40.906562713Z level=info msg="Executing migration" id="Add column updated_by in dashboard - v2"
grafana  | logger=migrator t=2025-05-19T16:50:40.907213963Z level=info msg="Migration successfully executed" id="Add column updated_by in dashboard - v2" duration=650.584µs
grafana  | logger=migrator t=2025-05-19T16:50:40.910990255Z level=info msg="Executing migration" id="Add column created_by in dashboard - v2"
grafana  | logger=migrator t=2025-05-19T16:50:40.911731838Z level=info msg="Migration successfully executed" id="Add column created_by in dashboard - v2" duration=741.75µs
grafana  | logger=migrator t=2025-05-19T16:50:40.912922463Z level=info msg="Executing migration" id="Add column gnetId in dashboard"
grafana  | logger=migrator t=2025-05-19T16:50:40.913517046Z level=info msg="Migration successfully executed" id="Add column gnetId in dashboard" duration=594.791µs
grafana  | logger=migrator t=2025-05-19T16:50:40.914373255Z level=info msg="Executing migration" id="Add index for gnetId in dashboard"
grafana  | logger=migrator t=2025-05-19T16:50:40.914581171Z level=info msg="Migration successfully executed" id="Add index for gnetId in dashboard" duration=207.959µs
grafana  | logger=migrator t=2025-05-19T16:50:40.915671005Z level=info msg="Executing migration" id="Add column plugin_id in dashboard"
grafana  | logger=migrator t=2025-05-19T16:50:40.91635238Z level=info msg="Migration successfully executed" id="Add column plugin_id in dashboard" duration=681.417µs
grafana  | logger=migrator t=2025-05-19T16:50:40.917375713Z level=info msg="Executing migration" id="Add index for plugin_id in dashboard"
grafana  | logger=migrator t=2025-05-19T16:50:40.91758038Z level=info msg="Migration successfully executed" id="Add index for plugin_id in dashboard" duration=204.666µs
grafana  | logger=migrator t=2025-05-19T16:50:40.919664963Z level=info msg="Executing migration" id="Add index for dashboard_id in dashboard_tag"
grafana  | logger=migrator t=2025-05-19T16:50:40.91986738Z level=info msg="Migration successfully executed" id="Add index for dashboard_id in dashboard_tag" duration=202.458µs
